label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,19,22,155,42,uiosdfui.png,1144,690
w/l,59,128,71,20,uiosdfui.png,1144,690
player,108,164,40,18,uiosdfui.png,1144,690
class,63,158,38,38,uiosdfui.png,1144,690
player,108,204,38,16,uiosdfui.png,1144,690
class,63,198,38,38,uiosdfui.png,1144,690
player,108,242,115,17,uiosdfui.png,1144,690
class,63,236,38,38,uiosdfui.png,1144,690
player,109,281,45,16,uiosdfui.png,1144,690
class,64,275,38,38,uiosdfui.png,1144,690
player,107,319,60,17,uiosdfui.png,1144,690
class,62,313,38,38,uiosdfui.png,1144,690
w/l,59,359,67,17,uiosdfui.png,1144,690
player,107,397,46,16,uiosdfui.png,1144,690
class,62,391,38,38,uiosdfui.png,1144,690
player,108,435,48,16,uiosdfui.png,1144,690
class,63,429,38,38,uiosdfui.png,1144,690
player,107,474,32,19,uiosdfui.png,1144,690
class,62,468,38,38,uiosdfui.png,1144,690
player,109,511,68,17,uiosdfui.png,1144,690
class,64,505,38,38,uiosdfui.png,1144,690
player,108,551,77,18,uiosdfui.png,1144,690
class,63,545,38,38,uiosdfui.png,1144,690
player,108,589,156,18,uiosdfui.png,1144,690
class,63,583,38,38,uiosdfui.png,1144,690
