label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,21,22,155,42,dsfser.png,1150,693
w/l,61,128,71,20,dsfser.png,1150,693
player,110,164,115,18,dsfser.png,1150,693
class,64,158,38,38,dsfser.png,1150,693
player,110,204,39,16,dsfser.png,1150,693
class,64,198,38,38,dsfser.png,1150,693
player,110,242,38,17,dsfser.png,1150,693
class,64,236,38,38,dsfser.png,1150,693
player,110,281,45,17,dsfser.png,1150,693
class,64,275,38,38,dsfser.png,1150,693
player,109,319,60,17,dsfser.png,1150,693
class,63,313,38,38,dsfser.png,1150,693
w/l,61,359,67,17,dsfser.png,1150,693
player,109,398,62,18,dsfser.png,1150,693
class,63,392,38,38,dsfser.png,1150,693
player,110,435,123,19,dsfser.png,1150,693
class,64,429,38,38,dsfser.png,1150,693
player,110,473,143,20,dsfser.png,1150,693
class,64,467,38,38,dsfser.png,1150,693
player,111,512,47,18,dsfser.png,1150,693
class,65,506,38,38,dsfser.png,1150,693
player,110,552,65,17,dsfser.png,1150,693
class,64,546,38,38,dsfser.png,1150,693
player,110,589,99,16,dsfser.png,1150,693
class,64,583,38,38,dsfser.png,1150,693
