label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,15,12,158,46,ewfwef.png,1146,683
w/l,57,123,77,23,ewfwef.png,1146,683
player,105,158,116,23,ewfwef.png,1146,683
class,60,152,38,38,ewfwef.png,1146,683
player,106,199,131,19,ewfwef.png,1146,683
class,61,193,38,38,ewfwef.png,1146,683
player,106,237,67,20,ewfwef.png,1146,683
class,61,231,38,38,ewfwef.png,1146,683
player,106,275,154,20,ewfwef.png,1146,683
class,61,269,38,38,ewfwef.png,1146,683
player,106,314,121,22,ewfwef.png,1146,683
class,61,308,38,38,ewfwef.png,1146,683
w/l,57,355,72,19,ewfwef.png,1146,683
player,106,393,86,19,ewfwef.png,1146,683
class,61,387,38,38,ewfwef.png,1146,683
player,106,430,152,20,ewfwef.png,1146,683
class,61,424,38,38,ewfwef.png,1146,683
player,106,470,57,21,ewfwef.png,1146,683
class,61,464,38,38,ewfwef.png,1146,683
player,106,508,90,20,ewfwef.png,1146,683
class,61,502,38,38,ewfwef.png,1146,683
player,106,547,69,21,ewfwef.png,1146,683
class,61,541,38,38,ewfwef.png,1146,683
player,106,586,118,19,ewfwef.png,1146,683
class,61,580,38,38,ewfwef.png,1146,683
