label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,20,14,156,41,sodifusodiufii.png,1147,527
w/l,61,119,77,23,sodifusodiufii.png,1147,527
player,110,154,115,24,sodifusodiufii.png,1147,527
class,65,148,38,38,sodifusodiufii.png,1147,527
player,110,194,132,20,sodifusodiufii.png,1147,527
class,65,188,38,38,sodifusodiufii.png,1147,527
player,110,233,67,20,sodifusodiufii.png,1147,527
class,65,227,38,38,sodifusodiufii.png,1147,527
player,110,273,154,19,sodifusodiufii.png,1147,527
class,65,267,38,38,sodifusodiufii.png,1147,527
player,110,311,121,22,sodifusodiufii.png,1147,527
class,65,305,38,38,sodifusodiufii.png,1147,527
w/l,61,351,72,19,sodifusodiufii.png,1147,527
player,110,389,109,22,sodifusodiufii.png,1147,527
class,65,383,38,38,sodifusodiufii.png,1147,527
player,110,428,118,18,sodifusodiufii.png,1147,527
class,65,422,38,38,sodifusodiufii.png,1147,527
