label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,18,24,158,43,sdfskdf.png,1182,507
w/l,58,132,73,21,sdfskdf.png,1182,507
player,108,170,81,20,sdfskdf.png,1182,507
class,61,164,39,39,sdfskdf.png,1182,507
player,108,210,79,19,sdfskdf.png,1182,507
class,61,204,39,39,sdfskdf.png,1182,507
player,108,251,45,17,sdfskdf.png,1182,507
class,61,245,39,39,sdfskdf.png,1182,507
player,108,290,54,17,sdfskdf.png,1182,507
class,61,284,39,39,sdfskdf.png,1182,507
player,108,330,84,17,sdfskdf.png,1182,507
class,61,324,39,39,sdfskdf.png,1182,507
w/l,58,370,69,18,sdfskdf.png,1182,507
player,109,410,93,16,sdfskdf.png,1182,507
class,62,404,39,39,sdfskdf.png,1182,507
