label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,19,21,155,42,sdkfljsdkfjik.png,1149,690
w/l,59,127,71,20,sdkfljsdkfjik.png,1149,690
player,108,163,40,18,sdkfljsdkfjik.png,1149,690
class,63,157,38,38,sdkfljsdkfjik.png,1149,690
player,108,203,115,17,sdkfljsdkfjik.png,1149,690
class,63,197,38,38,sdkfljsdkfjik.png,1149,690
player,108,241,38,17,sdkfljsdkfjik.png,1149,690
class,63,235,38,38,sdkfljsdkfjik.png,1149,690
player,108,280,45,17,sdkfljsdkfjik.png,1149,690
class,63,274,38,38,sdkfljsdkfjik.png,1149,690
player,107,318,60,17,sdkfljsdkfjik.png,1149,690
class,62,312,38,38,sdkfljsdkfjik.png,1149,690
player,108,357,108,16,sdkfljsdkfjik.png,1149,690
class,63,351,38,38,sdkfljsdkfjik.png,1149,690
w/l,59,397,67,17,sdkfljsdkfjik.png,1149,690
player,108,434,108,18,sdkfljsdkfjik.png,1149,690
class,63,428,38,38,sdkfljsdkfjik.png,1149,690
player,107,473,127,18,sdkfljsdkfjik.png,1149,690
class,62,467,38,38,sdkfljsdkfjik.png,1149,690
player,108,511,54,16,sdkfljsdkfjik.png,1149,690
class,63,505,38,38,sdkfljsdkfjik.png,1149,690
player,109,550,78,16,sdkfljsdkfjik.png,1149,690
class,64,544,38,38,sdkfljsdkfjik.png,1149,690
player,107,588,78,16,sdkfljsdkfjik.png,1149,690
class,62,582,38,38,sdkfljsdkfjik.png,1149,690
