label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,20,25,155,42,iojksdfsdiofuj.png,1149,696
w/l,60,131,71,20,iojksdfsdiofuj.png,1149,696
player,109,167,40,18,iojksdfsdiofuj.png,1149,696
class,64,161,38,38,iojksdfsdiofuj.png,1149,696
player,109,207,38,16,iojksdfsdiofuj.png,1149,696
class,64,201,38,38,iojksdfsdiofuj.png,1149,696
player,109,245,115,17,iojksdfsdiofuj.png,1149,696
class,64,239,38,38,iojksdfsdiofuj.png,1149,696
player,109,284,45,17,iojksdfsdiofuj.png,1149,696
class,64,278,38,38,iojksdfsdiofuj.png,1149,696
player,108,322,60,17,iojksdfsdiofuj.png,1149,696
class,63,316,38,38,iojksdfsdiofuj.png,1149,696
w/l,60,362,67,17,iojksdfsdiofuj.png,1149,696
player,109,400,56,19,iojksdfsdiofuj.png,1149,696
class,64,394,38,38,iojksdfsdiofuj.png,1149,696
player,109,438,37,16,iojksdfsdiofuj.png,1149,696
class,64,432,38,38,iojksdfsdiofuj.png,1149,696
player,108,477,80,16,iojksdfsdiofuj.png,1149,696
class,63,471,38,38,iojksdfsdiofuj.png,1149,696
player,109,514,60,18,iojksdfsdiofuj.png,1149,696
class,64,508,38,38,iojksdfsdiofuj.png,1149,696
player,109,554,49,16,iojksdfsdiofuj.png,1149,696
class,64,548,38,38,iojksdfsdiofuj.png,1149,696
player,110,592,103,18,iojksdfsdiofuj.png,1149,696
class,65,586,38,38,iojksdfsdiofuj.png,1149,696
