label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,14,21,162,42,32.png,1162,699
w/l,56,127,73,21,32.png,1162,699
player,105,161,129,23,32.png,1162,699
class,59,155,38,38,32.png,1162,699
player,104,200,120,23,32.png,1162,699
class,58,194,38,38,32.png,1162,699
player,105,240,80,20,32.png,1162,699
class,59,234,38,38,32.png,1162,699
player,104,280,128,18,32.png,1162,699
class,58,274,38,38,32.png,1162,699
player,104,320,61,17,32.png,1162,699
class,58,314,38,38,32.png,1162,699
player,104,360,106,18,32.png,1162,699
class,58,354,38,38,32.png,1162,699
w/l,56,400,71,18,32.png,1162,699
player,105,438,82,18,32.png,1162,699
class,59,432,38,38,32.png,1162,699
player,104,478,58,19,32.png,1162,699
class,58,472,38,38,32.png,1162,699
player,105,517,80,19,32.png,1162,699
class,59,511,38,38,32.png,1162,699
player,104,552,74,24,32.png,1162,699
class,58,546,38,38,32.png,1162,699
player,105,592,124,22,32.png,1162,699
class,59,586,38,38,32.png,1162,699
