label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,13,12,109,30,71.png,820,489
w/l,40,87,56,16,71.png,820,489
player,74,111,70,18,71.png,820,489
class,42,107,27,27,71.png,820,489
player,75,141,88,16,71.png,820,489
class,43,137,27,27,71.png,820,489
player,74,168,46,15,71.png,820,489
class,42,164,27,27,71.png,820,489
player,74,195,67,17,71.png,820,489
class,42,191,27,27,71.png,820,489
player,74,223,45,15,71.png,820,489
class,42,219,27,27,71.png,820,489
w/l,40,252,52,15,71.png,820,489
player,74,277,85,16,71.png,820,489
class,42,273,27,27,71.png,820,489
player,74,305,59,17,71.png,820,489
class,42,301,27,27,71.png,820,489
player,74,333,95,16,71.png,820,489
class,42,329,27,27,71.png,820,489
player,74,360,103,16,71.png,820,489
class,42,356,27,27,71.png,820,489
player,74,387,77,16,71.png,820,489
class,42,383,27,27,71.png,820,489
player,75,416,80,14,71.png,820,489
class,43,412,27,27,71.png,820,489
