label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,15,21,120,33,321.png,898,362
w/l,45,104,61,19,321.png,898,362
player,82,133,119,18,321.png,898,362
class,47,129,29,29,321.png,898,362
player,83,163,123,17,321.png,898,362
class,48,159,29,29,321.png,898,362
player,82,193,81,18,321.png,898,362
class,47,189,29,29,321.png,898,362
player,82,223,107,17,321.png,898,362
class,47,219,29,29,321.png,898,362
w/l,45,254,57,16,321.png,898,362
player,83,284,93,17,321.png,898,362
class,48,280,29,29,321.png,898,362
