label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,13,16,161,49,14.png,1176,514
w/l,54,129,73,21,14.png,1176,514
player,105,166,143,21,14.png,1176,514
class,58,160,39,39,14.png,1176,514
player,105,207,132,20,14.png,1176,514
class,58,201,39,39,14.png,1176,514
player,104,247,45,20,14.png,1176,514
class,57,241,39,39,14.png,1176,514
player,105,287,94,17,14.png,1176,514
class,58,281,39,39,14.png,1176,514
player,105,326,77,20,14.png,1176,514
class,58,320,39,39,14.png,1176,514
w/l,54,367,69,18,14.png,1176,514
player,105,407,133,19,14.png,1176,514
class,58,401,39,39,14.png,1176,514
