label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,24,20,172,51,270.png,1265,592
w/l,71,140,77,21,270.png,1265,592
player,125,180,57,18,270.png,1265,592
class,75,174,42,42,270.png,1265,592
player,125,223,41,17,270.png,1265,592
class,75,217,42,42,270.png,1265,592
player,124,266,85,18,270.png,1265,592
class,74,260,42,42,270.png,1265,592
player,125,308,26,17,270.png,1265,592
class,75,302,42,42,270.png,1265,592
player,124,350,120,17,270.png,1265,592
class,74,344,42,42,270.png,1265,592
w/l,71,393,73,18,270.png,1265,592
player,124,434,79,18,270.png,1265,592
class,74,428,42,42,270.png,1265,592
player,126,476,113,17,270.png,1265,592
class,76,470,42,42,270.png,1265,592
