label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,18,29,188,51,318.png,1275,763
w/l,78,144,77,21,318.png,1275,763
player,133,186,40,18,318.png,1275,763
class,82,180,42,42,318.png,1275,763
player,133,228,66,17,318.png,1275,763
class,82,222,42,42,318.png,1275,763
player,132,269,72,17,318.png,1275,763
class,81,263,42,42,318.png,1275,763
player,133,312,64,17,318.png,1275,763
class,82,306,42,42,318.png,1275,763
player,133,355,38,15,318.png,1275,763
class,82,349,42,42,318.png,1275,763
player,132,396,87,20,318.png,1275,763
class,81,390,42,42,318.png,1275,763
w/l,78,439,73,18,318.png,1275,763
player,133,481,96,18,318.png,1275,763
class,82,475,42,42,318.png,1275,763
player,132,522,80,19,318.png,1275,763
class,81,516,42,42,318.png,1275,763
player,133,566,74,17,318.png,1275,763
class,82,560,42,42,318.png,1275,763
player,133,607,102,17,318.png,1275,763
class,82,601,42,42,318.png,1275,763
player,133,650,76,15,318.png,1275,763
class,82,644,42,42,318.png,1275,763
