label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,18,16,164,49,142.png,1182,509
w/l,62,129,73,21,142.png,1182,509
player,113,166,143,21,142.png,1182,509
class,66,160,39,39,142.png,1182,509
player,113,207,132,20,142.png,1182,509
class,66,201,39,39,142.png,1182,509
player,112,247,45,20,142.png,1182,509
class,65,241,39,39,142.png,1182,509
player,113,287,94,17,142.png,1182,509
class,66,281,39,39,142.png,1182,509
player,113,326,77,20,142.png,1182,509
class,66,320,39,39,142.png,1182,509
w/l,62,367,69,18,142.png,1182,509
player,113,407,117,18,142.png,1182,509
class,66,401,39,39,142.png,1182,509
