label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,14,15,161,48,70.png,1169,702
w/l,56,129,79,23,70.png,1169,702
player,107,165,95,23,70.png,1169,702
class,61,159,38,38,70.png,1169,702
player,107,205,59,20,70.png,1169,702
class,61,199,38,38,70.png,1169,702
player,107,245,130,20,70.png,1169,702
class,61,239,38,38,70.png,1169,702
player,108,284,97,23,70.png,1169,702
class,62,278,38,38,70.png,1169,702
player,107,324,127,22,70.png,1169,702
class,61,318,38,38,70.png,1169,702
w/l,56,365,73,19,70.png,1169,702
player,107,404,88,21,70.png,1169,702
class,61,398,38,38,70.png,1169,702
player,107,443,78,19,70.png,1169,702
class,61,437,38,38,70.png,1169,702
player,107,481,83,20,70.png,1169,702
class,61,475,38,38,70.png,1169,702
player,108,521,84,20,70.png,1169,702
class,62,515,38,38,70.png,1169,702
player,107,561,55,21,70.png,1169,702
class,61,555,38,38,70.png,1169,702
player,108,601,139,21,70.png,1169,702
class,62,595,38,38,70.png,1169,702
