label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,13,15,160,49,59.png,1177,709
w/l,54,129,73,21,59.png,1177,709
player,104,167,53,18,59.png,1177,709
class,57,161,39,39,59.png,1177,709
player,104,208,125,16,59.png,1177,709
class,57,202,39,39,59.png,1177,709
player,104,247,87,19,59.png,1177,709
class,57,241,39,39,59.png,1177,709
player,104,287,127,18,59.png,1177,709
class,57,281,39,39,59.png,1177,709
player,103,326,36,20,59.png,1177,709
class,56,320,39,39,59.png,1177,709
player,105,366,119,17,59.png,1177,709
class,58,360,39,39,59.png,1177,709
w/l,54,407,69,18,59.png,1177,709
player,104,446,87,19,59.png,1177,709
class,57,440,39,39,59.png,1177,709
player,104,485,136,18,59.png,1177,709
class,57,479,39,39,59.png,1177,709
player,104,525,126,20,59.png,1177,709
class,57,519,39,39,59.png,1177,709
player,104,564,89,18,59.png,1177,709
class,57,558,39,39,59.png,1177,709
player,104,604,113,17,59.png,1177,709
class,57,598,39,39,59.png,1177,709
