label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,12,15,161,49,273.png,1163,556
w/l,54,128,73,21,273.png,1163,556
player,103,166,84,19,273.png,1163,556
class,57,160,38,38,273.png,1163,556
player,104,207,119,20,273.png,1163,556
class,58,201,38,38,273.png,1163,556
player,104,246,87,20,273.png,1163,556
class,58,240,38,38,273.png,1163,556
player,103,286,61,18,273.png,1163,556
class,57,280,38,38,273.png,1163,556
player,104,326,78,18,273.png,1163,556
class,58,320,38,38,273.png,1163,556
player,104,366,98,16,273.png,1163,556
class,58,360,38,38,273.png,1163,556
w/l,54,406,69,18,273.png,1163,556
player,104,445,60,20,273.png,1163,556
class,58,439,38,38,273.png,1163,556
