label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,23,20,190,54,88.png,1396,791
w/l,72,152,85,24,88.png,1396,791
player,132,199,107,18,88.png,1396,791
class,77,192,46,46,88.png,1396,791
player,132,246,108,18,88.png,1396,791
class,77,239,46,46,88.png,1396,791
player,132,293,75,21,88.png,1396,791
class,77,286,46,46,88.png,1396,791
player,133,339,81,19,88.png,1396,791
class,78,332,46,46,88.png,1396,791
w/l,73,386,79,20,88.png,1396,791
player,132,433,95,18,88.png,1396,791
class,77,426,46,46,88.png,1396,791
player,132,479,78,19,88.png,1396,791
class,77,472,46,46,88.png,1396,791
player,132,527,71,18,88.png,1396,791
class,77,520,46,46,88.png,1396,791
player,132,573,108,19,88.png,1396,791
class,77,566,46,46,88.png,1396,791
player,132,621,68,18,88.png,1396,791
class,77,614,46,46,88.png,1396,791
player,133,668,171,18,88.png,1396,791
class,78,661,46,46,88.png,1396,791
