label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,13,13,162,48,64.png,1185,584
w/l,55,125,73,21,64.png,1185,584
player,105,164,57,18,64.png,1185,584
class,58,158,39,39,64.png,1185,584
player,106,203,69,20,64.png,1185,584
class,59,197,39,39,64.png,1185,584
player,105,242,63,18,64.png,1185,584
class,58,236,39,39,64.png,1185,584
player,106,283,77,20,64.png,1185,584
class,59,277,39,39,64.png,1185,584
w/l,55,324,69,18,64.png,1185,584
player,106,364,53,18,64.png,1185,584
class,59,358,39,39,64.png,1185,584
player,106,403,34,16,64.png,1185,584
class,59,397,39,39,64.png,1185,584
player,105,442,90,20,64.png,1185,584
class,58,436,39,39,64.png,1185,584
player,106,483,114,19,64.png,1185,584
class,59,477,39,39,64.png,1185,584
