label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,20,22,163,45,205.png,1230,744
w/l,59,135,76,21,205.png,1230,744
player,112,174,89,19,205.png,1230,744
class,63,168,41,41,205.png,1230,744
player,113,217,145,19,205.png,1230,744
class,64,211,41,41,205.png,1230,744
player,112,258,136,20,205.png,1230,744
class,63,252,41,41,205.png,1230,744
player,112,300,91,19,205.png,1230,744
class,63,294,41,41,205.png,1230,744
player,112,341,78,17,205.png,1230,744
class,63,335,41,41,205.png,1230,744
w/l,59,384,72,18,205.png,1230,744
player,111,424,81,20,205.png,1230,744
class,62,418,41,41,205.png,1230,744
player,113,466,71,17,205.png,1230,744
class,64,460,41,41,205.png,1230,744
player,112,507,37,20,205.png,1230,744
class,63,501,41,41,205.png,1230,744
player,112,550,47,16,205.png,1230,744
class,63,544,41,41,205.png,1230,744
player,112,590,53,20,205.png,1230,744
class,63,584,41,41,205.png,1230,744
player,112,632,116,18,205.png,1230,744
class,63,626,41,41,205.png,1230,744
