label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,37,33,207,56,300.png,1603,810
w/l,86,179,97,27,300.png,1603,810
player,154,233,121,24,300.png,1603,810
class,90,225,53,53,300.png,1603,810
player,154,287,160,21,300.png,1603,810
class,90,279,53,53,300.png,1603,810
player,153,339,187,25,300.png,1603,810
class,89,331,53,53,300.png,1603,810
player,154,393,99,22,300.png,1603,810
class,90,385,53,53,300.png,1603,810
player,154,447,134,22,300.png,1603,810
class,90,439,53,53,300.png,1603,810
w/l,86,502,91,22,300.png,1603,810
player,153,556,75,21,300.png,1603,810
class,89,548,53,53,300.png,1603,810
player,154,609,63,24,300.png,1603,810
class,90,601,53,53,300.png,1603,810
player,154,663,148,20,300.png,1603,810
class,90,655,53,53,300.png,1603,810
