label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,20,14,110,30,139.png,831,334
w/l,48,89,56,18,139.png,831,334
player,82,114,84,19,139.png,831,334
class,49,110,27,27,139.png,831,334
player,82,143,44,15,139.png,831,334
class,49,139,27,27,139.png,831,334
player,82,171,51,15,139.png,831,334
class,49,167,27,27,139.png,831,334
player,83,198,83,14,139.png,831,334
class,50,194,27,27,139.png,831,334
w/l,48,227,52,15,139.png,831,334
player,82,252,53,16,139.png,831,334
class,49,248,27,27,139.png,831,334
