label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,14,21,168,43,50.png,1189,709
w/l,63,131,79,25,50.png,1189,709
player,115,169,78,20,50.png,1189,709
class,68,163,39,39,50.png,1189,709
player,115,210,130,17,50.png,1189,709
class,68,204,39,39,50.png,1189,709
player,115,249,121,18,50.png,1189,709
class,68,243,39,39,50.png,1189,709
player,115,289,126,19,50.png,1189,709
class,68,283,39,39,50.png,1189,709
player,115,328,46,18,50.png,1189,709
class,68,322,39,39,50.png,1189,709
w/l,63,369,74,19,50.png,1189,709
player,114,408,89,20,50.png,1189,709
class,67,402,39,39,50.png,1189,709
player,115,447,125,20,50.png,1189,709
class,68,441,39,39,50.png,1189,709
player,115,487,129,18,50.png,1189,709
class,68,481,39,39,50.png,1189,709
player,115,527,120,18,50.png,1189,709
class,68,521,39,39,50.png,1189,709
player,114,567,107,20,50.png,1189,709
class,67,561,39,39,50.png,1189,709
player,113,606,86,18,50.png,1189,709
class,66,600,39,39,50.png,1189,709
