label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
v/d,22,22,171,46,260.png,1271,594
w/l,68,139,77,21,260.png,1271,594
player,122,178,82,22,260.png,1271,594
class,72,172,42,42,260.png,1271,594
player,122,223,66,20,260.png,1271,594
class,72,217,42,42,260.png,1271,594
player,122,265,40,20,260.png,1271,594
class,72,259,42,42,260.png,1271,594
player,123,307,67,18,260.png,1271,594
class,73,301,42,42,260.png,1271,594
player,122,351,54,17,260.png,1271,594
class,72,345,42,42,260.png,1271,594
player,123,393,75,17,260.png,1271,594
class,73,387,42,42,260.png,1271,594
w/l,68,437,73,18,260.png,1271,594
player,123,477,43,19,260.png,1271,594
class,73,471,42,42,260.png,1271,594
